Loading val dataloader successfully! -- 8.867563009262085
Loading Train dataloader successfully! -- 176.7682192325592
Loading Test dataloader successfully! -- 0.9259908199310303
Loading val dataloader successfully! -- 8.918102741241455
Loading Train dataloader successfully! -- 177.61992597579956
Loading Test dataloader successfully! -- 0.0978853702545166
Starting training process...
Epoch: [0][0/1260]	Time 11.176s (11.176s)	Speed 1.4 samples/s	Data 5.228s (5.228s)	Loss 360.65968 (360.65968)	Accuracy 0.438 (0.438)	 Cls Loss: 0.69231	 loss_cstency: 161.16178
Epoch: [0][5/1260]	Time 4.373s (5.490s)	Speed 3.7 samples/s	Data 0.008s (0.878s)	Loss 298.67584 (371.38630)	Accuracy 0.438 (0.510)	 Cls Loss: 0.69115	 loss_cstency: 114.67235
Epoch: [0][10/1260]	Time 4.427s (5.005s)	Speed 3.6 samples/s	Data 0.008s (0.482s)	Loss 298.43907 (348.29841)	Accuracy 0.500 (0.500)	 Cls Loss: 0.69053	 loss_cstency: 98.24702
Epoch: [0][15/1260]	Time 4.460s (4.831s)	Speed 3.6 samples/s	Data 0.008s (0.334s)	Loss 273.85809 (338.62028)	Accuracy 0.562 (0.500)	 Cls Loss: 0.69048	 loss_cstency: 94.43159
Epoch: [0][20/1260]	Time 4.478s (4.746s)	Speed 3.6 samples/s	Data 0.008s (0.257s)	Loss 278.02252 (334.79757)	Accuracy 0.375 (0.509)	 Cls Loss: 0.69855	 loss_cstency: 92.83821
Epoch: [0][25/1260]	Time 4.477s (4.695s)	Speed 3.6 samples/s	Data 0.008s (0.209s)	Loss 308.67070 (328.88942)	Accuracy 0.500 (0.510)	 Cls Loss: 0.69054	 loss_cstency: 92.33323
Epoch: [0][30/1260]	Time 4.510s (4.663s)	Speed 3.5 samples/s	Data 0.008s (0.176s)	Loss 270.50910 (321.34159)	Accuracy 0.562 (0.514)	 Cls Loss: 0.69009	 loss_cstency: 86.93116
Epoch: [0][35/1260]	Time 4.520s (4.642s)	Speed 3.5 samples/s	Data 0.008s (0.153s)	Loss 316.40172 (316.12573)	Accuracy 0.500 (0.510)	 Cls Loss: 0.69492	 loss_cstency: 84.28569
Epoch: [0][40/1260]	Time 4.523s (4.627s)	Speed 3.5 samples/s	Data 0.008s (0.135s)	Loss 256.72728 (310.31126)	Accuracy 0.500 (0.508)	 Cls Loss: 0.68630	 loss_cstency: 79.71121
Epoch: [0][45/1260]	Time 4.528s (4.618s)	Speed 3.5 samples/s	Data 0.008s (0.121s)	Loss 278.64816 (306.89818)	Accuracy 0.500 (0.508)	 Cls Loss: 0.69330	 loss_cstency: 91.95974
Epoch: [0][50/1260]	Time 4.539s (4.610s)	Speed 3.5 samples/s	Data 0.008s (0.110s)	Loss 290.86083 (304.18057)	Accuracy 0.438 (0.512)	 Cls Loss: 0.69086	 loss_cstency: 80.03258
Epoch: [0][55/1260]	Time 4.545s (4.605s)	Speed 3.5 samples/s	Data 0.008s (0.101s)	Loss 253.26656 (301.83422)	Accuracy 0.500 (0.515)	 Cls Loss: 0.68461	 loss_cstency: 76.28011
Epoch: [0][60/1260]	Time 4.547s (4.600s)	Speed 3.5 samples/s	Data 0.008s (0.094s)	Loss 259.88451 (298.91290)	Accuracy 0.562 (0.512)	 Cls Loss: 0.68014	 loss_cstency: 77.83654
Epoch: [0][65/1260]	Time 4.564s (4.597s)	Speed 3.5 samples/s	Data 0.008s (0.087s)	Loss 284.55355 (296.85347)	Accuracy 0.250 (0.508)	 Cls Loss: 0.70028	 loss_cstency: 76.30993
Epoch: [0][70/1260]	Time 4.567s (4.595s)	Speed 3.5 samples/s	Data 0.008s (0.082s)	Loss 266.58782 (295.00799)	Accuracy 0.562 (0.507)	 Cls Loss: 0.69070	 loss_cstency: 75.65246
Epoch: [0][75/1260]	Time 4.549s (4.592s)	Speed 3.5 samples/s	Data 0.008s (0.077s)	Loss 253.07014 (292.15219)	Accuracy 0.500 (0.507)	 Cls Loss: 0.68600	 loss_cstency: 73.96099
Epoch: [0][80/1260]	Time 4.569s (4.590s)	Speed 3.5 samples/s	Data 0.008s (0.072s)	Loss 302.05323 (290.62342)	Accuracy 0.625 (0.511)	 Cls Loss: 0.68556	 loss_cstency: 72.84467
Epoch: [0][85/1260]	Time 4.564s (4.589s)	Speed 3.5 samples/s	Data 0.008s (0.069s)	Loss 245.44202 (288.44146)	Accuracy 0.500 (0.511)	 Cls Loss: 0.68837	 loss_cstency: 74.97739
Epoch: [0][90/1260]	Time 4.555s (4.587s)	Speed 3.5 samples/s	Data 0.008s (0.065s)	Loss 240.00315 (287.31549)	Accuracy 0.562 (0.512)	 Cls Loss: 0.68213	 loss_cstency: 70.21731
Epoch: [0][95/1260]	Time 4.559s (4.587s)	Speed 3.5 samples/s	Data 0.008s (0.062s)	Loss 246.30938 (285.21885)	Accuracy 0.500 (0.514)	 Cls Loss: 0.69353	 loss_cstency: 74.13708
Epoch: [0][100/1260]	Time 4.581s (4.586s)	Speed 3.5 samples/s	Data 0.008s (0.060s)	Loss 248.94704 (283.89973)	Accuracy 0.438 (0.512)	 Cls Loss: 0.68884	 loss_cstency: 72.79319
